10.824001	106.632758
10.828845	106.632548
10.828845	106.632548
10.82956	106.635928
10.885213	106.651882
*	*
10.82956	106.635928
10.8631173	106.6413106
10.870003	106.636807
10.877977	106.642208
10.885213	106.651882
*	*
10.8432641	106.6771453
10.860048	106.680251
10.863562	106.666983
10.8618351	106.6609485
10.885213	106.651882
*	*
10.857962	106.611998
10.860423	106.61306
10.877977	106.642208
10.878609	106.643021
10.885213	106.651882
*	*
10.8974747	106.6909399
10.8974747	106.6909399
10.8792968	106.6665411
10.878882	106.652831
10.885213	106.651882
*	*
10.8618351	106.6609485
10.863421	106.654088
10.863421	106.654088
10.8717544	106.6546526
10.885213	106.651882
*	*
10.8658231	106.6500974
10.8658231	106.6500974
10.871903	106.649705
10.872692	106.650555
10.885213	106.651882
*	*
10.902931	106.652698
10.8921951	106.6475281
10.892159	106.64772
10.882202	106.6485681
10.885213	106.651882
*	*
10.8717544	106.6546526
10.8763532	106.6548701
10.878882	106.652831
10.8800005	106.6509255
10.8806285	106.6509149
10.885213	106.651882
*	*
10.872692	106.650555
10.872692	106.650555
10.8741188	106.6509675
10.8806285	106.6509149
10.885213	106.651882
*	*
10.878609	106.643021
10.878909	106.644217
10.882202	106.6485681
10.8816902	106.6495723
10.8820304	106.6499678
10.885213	106.651882
*	*
10.8806285	106.6509149
10.8820304	106.6499678
10.882796	106.652766
10.88425	106.650286
10.885213	106.651882
*	*
10.8838489	106.6522258
10.885213	106.651882
*	*
