0	0
2748	371
3233	528
2482	409
1246	201
1605	315
1626	314
8301	1213
1533	306
11128	1354
2282	440
7574	964
8194	1074
502	89
6860	899
671	131
1336	265
608	120
2300	431
602	123
618	120
2196	406
2748	371
346	73
5488	769
4336	601
1267	205
3144	538
8388	1283
5798	751
2115	396
8332	1103
300	59
6212	965
6212	965
8301	1213
775	147
2208	330
1533	306
2482	409
1078	180
2748	371
0	0
5979	904
1149	206
3991	576
1608	233
1591	266
5742	923
1440	236
8570	1064
1088	172
5015	674
5636	784
2423	362
4301	609
2506	397
1638	278
2806	433
3132	558
2575	405
2816	433
3027	534
0	0
2780	417
2930	479
1778	311
4012	580
2814	492
5830	993
3239	461
2947	523
5774	813
2857	443
7031	1069
7031	1069
5742	923
3003	468
3283	463
1440	236
1149	206
2167	327
3233	528
5979	904
0	0
4983	799
2095	407
4521	772
4592	780
10360	1683
4499	772
13187	1825
5248	906
10783	1511
7154	1244
3704	643
10070	1446
3633	630
4301	732
3390	590
4087	796
3563	621
3311	572
4696	796
5958	918
3347	603
8698	1316
5857	1041
2116	411
5645	927
10447	1754
9008	1297
4616	786
7400	1290
3411	605
4884	749
4884	749
10360	1683
3154	530
5601	899
4499	772
4983	799
4078	695
2482	409
1149	206
4983	799
0	0
2996	422
1567	265
698	103
5377	884
849	131
8205	1026
1598	265
5788	736
5271	746
2257	341
5074	671
1653	286
989	151
1943	288
2114	357
1723	294
1864	270
2009	332
1244	251
2411	370
3702	540
1401	266
3016	426
1844	310
5465	954
4012	522
1929	322
5408	774
2250	340
7391	1149
7391	1149
5377	884
1829	262
3387	513
849	131
0	0
1865	309
1246	201
3991	576
2095	407
2996	422
0	0
2534	433
2605	441
8372	1345
2512	433
11200	1486
3261	567
8796	1172
7179	1135
1717	304
8082	1107
1646	291
2314	393
1402	251
2100	457
1576	283
1324	233
2709	457
3971	579
1360	264
6711	977
3870	702
21	4
3658	588
8460	1415
7020	958
2629	447
7425	1181
1424	266
8542	1064
8542	1064
8372	1345
1167	191
3613	561
2512	433
2996	460
2091	356
1605	315
1608	233
4521	772
1567	265
2534	433
0	0
869	170
6944	1163
776	162
9772	1304
1525	296
7026	953
6838	1024
815	125
6312	888
898	160
578	122
1198	196
1653	335
967	168
1208	196
1548	311
2201	359
1172	181
4090	731
2968	545
2404	343
2497	442
7032	1233
5250	739
1468	300
6976	1053
1249	206
5679	861
5679	861
6944	1163
1395	232
1675	226
776	162
1567	278
560	90
1626	314
1591	266
4592	780
698	103
2605	441
869	170
0	0
6075	993
151	28
8903	1135
900	162
6401	818
5969	855
1401	259
5687	754
955	184
291	48
1370	224
1541	292
1025	191
1291	205
1436	267
1576	225
1555	288
4315	623
2099	375
2443	362
2385	399
6163	1063
4625	605
1356	257
6106	883
1677	276
6551	1049
6551	1049
6075	993
1256	197
2547	414
151	28
698	109
1025	210
8301	1213
5742	923
10360	1683
5377	884
8372	1345
6944	1163
6075	993
0	0
6254	1028
929	201
6653	996
6968	1175
6117	860
7988	1186
9606	1350
7058	1184
6394	1048
7348	1186
7719	1199
7128	1192
7269	1167
7614	1174
5775	930
8345	1241
8234	1220
4604	863
8421	1324
6523	999
696	151
8544	1201
7334	1219
5878	826
7654	1238
12335	1809
12335	1809
0	0
7233	1159
8848	1287
6254	1028
5405	898
7733	1151
1533	306
1440	236
4499	772
849	131
2512	433
776	162
151	28
6254	1028
0	0
9054	1165
749	134
6250	790
6120	885
1309	253
5536	725
862	178
198	42
1185	237
1692	323
932	186
1195	237
1587	298
1425	197
1462	282
4164	595
2250	406
2594	392
2536	429
6314	1094
4474	577
1507	288
6257	914
1454	291
6458	1044
6458	1044
6226	1024
1407	228
2454	408
0	0
849	140
932	204
11128	1354
8570	1064
13187	1825
8205	1026
11200	1486
9772	1304
8903	1135
929	201
9054	1165
0	0
9335	1046
7022	1286
6063	857
10670	1236
12288	1400
9740	1234
9076	1098
10030	1236
10201	1304
9810	1242
9951	1218
10097	1279
8458	980
11027	1291
10916	1270
7287	919
11103	1374
8371	1096
1266	294
11226	1251
10016	1269
5824	823
10337	1288
15017	1859
15017	1859
929	206
9916	1209
11530	1337
8936	1079
8087	948
10415	1201
2282	440
1088	172
5248	906
1598	265
3261	567
1525	296
900	162
6653	996
749	134
9335	1046
0	0
7218	994
7030	1065
1335	190
6505	929
1418	225
810	171
1718	261
2173	404
1488	233
1728	261
2068	379
2393	400
1692	246
4610	797
3161	586
2924	408
3017	510
7224	1274
5443	780
1988	369
7168	1094
1769	272
6199	926
6199	926
7137	1204
1915	297
2195	291
969	203
1760	319
1080	155
7574	964
5015	674
10783	1511
5788	736
8796	1172
7026	953
6401	818
6968	1175
6250	790
7022	1286
7218	994
0	0
11179	1416
8159	1021
1906	236
8242	1055
7374	936
8542	1091
6464	1239
8312	1063
8552	1091
6359	1215
5947	765
8516	1076
4766	646
7321	943
9749	1239
6015	1169
6528	1192
5075	628
6279	1204
11317	1445
8593	1102
6726	932
6726	932
6962	1210
6179	1144
5595	800
7176	894
4350	883
7904	985
8194	1074
5636	784
7154	1244
5271	746
7179	1135
6838	1024
5969	855
6117	860
6120	885
6063	857
7030	1065
11179	1416
0	0
6747	1106
10149	1288
6285	1052
6055	1024
6432	1053
5055	863
6355	1060
6354	1035
4951	838
6319	868
6901	1135
8778	1158
3800	731
6418	1102
3860	663
5739	996
9088	1139
5233	883
480	111
6739	1105
12879	1747
12879	1747
6138	935
6318	1026
7877	1278
6798	967
5949	836
6355	1074
502	89
2423	362
3704	643
2257	341
1717	304
815	125
1401	259
7988	1186
1309	253
10670	1236
1335	190
8159	1021
6747	1106
0	0
6516	861
446	82
1111	216
383	70
2075	382
